ID	TRAD	SIMP	IPA	JYUTPING	EXPL	NOTE	LEVEL
9183	悢	悢	laŋ24	laang5	懭悢		3
9184	悰	悰	tʃœŋ21	zoeng4			3
9185	惎	惎	ki22	gi6			3
9186	惔	惔	tam21	daam4	火燒		3
9187	惔	惔	tam22	daam6	同憺字		3
9188	惙	惙	tʃyt3	zyut2			3
9189	惛	惛	wɐn53	wan1	糊塗		3
9190	愃	愃	ɬyn53	slyun1			3
9191	愍	愍	mɐn24	man5			3
9192	愐	愐	min24	min5			3
9193	愭	愭	ki21	gi4			3
9194	慆	慆	tʰau53	taau1			3
9195	慥	慥	tʃau22	zaau6		(又)	3
9196	慥	慥	tʃʰau55	caau3			3
9197	慬	慬	kɐn21	gan4			3
9198	憖	慭	jɐn22	jan6		(又)	3
9199	憖	慭	ŋɐn22	ngan6			3
9200	憕	憕	tʃeŋ21	zing4			3
9201	憙	憙	hi33	hi2			3
9202	憭	憭	liu21	liu4	憭慄		3
9203	憭	憭	liu24	liu5	聰慧		3
9204	憷	憷	tʃʰu33	cu2			3
9205	憺	憺	tam22	daam6			3
9206	懍	懔	lɐm24	lam5			3
9207	戔	戋	tʃin53	zin1			3
9208	戣	戣	kʷɐi21	gwai4			3
9209	戤	戤	kʰai55	kaai3			3
9210	戭	戭	jin33	jin2	人名		3
9211	戭	戭	jɐn24	jan5	長槍		3
9212	戭	戭	jɐu24	jau5	長盾		3
9213	扂	扂	tim22	dim6			3
9214	扅	扅	ji21	ji4			3
9215	扆	扆	ji33	ji2			3
9216	扊	扊	jim24	jim5			3
9217	扞	扞	kan33	gaan2	同擀字		3
9218	扞	扞	han22	haan6	同捍字		3
9219	扺	扺	tʃi33	zi2			3
9220	扽	扽	tɐn55	dan3	顛簸；震動		3
9221	拶	拶	tʃat3	zaat2	逼，擠壓		3
9222	拶	拶	tʃan33	zaan2	舊時酷刑		3
9223	挓	挓	tʃa53	zaa1			3
9224	掎	掎	ji33	ji2		(又)	3
9225	掎	掎	ki33	gi2			3
9226	掞	掞	ʃim55	sim3	舒展		3
9227	掞	掞	jim22	jim6	照耀		3
9228	掭	掭	tʰim33	tim2	掭筆，又作㮇字		3
9229	揕	揕	tʃɐm55	zam3			3
9230	搌	搌	tʃyn33	zyun2		(又)	3
9231	搌	搌	tʃin33	zin2			3
9232	搒	搒	piɐŋ24	biang5	驅趕，與拍對轉，又作抨字	(語)	3
9233	搒	搒	pɐŋ21	bang4	笞打		3
9234	搒	搒	paŋ55	baang3	划船		3
9235	摏	摏	tʃʰœŋ53	coeng1			3
9236	摛	摛	tʃʰi53	ci1			3
9237	摴	摴	ʃy53	syu1			3
9238	撖	撖	ham24	haam5	姓		3
9239	擐	擐	wan22	waan6		(又)	3
9240	擐	擐	kʷan55	gwaan3			3
9241	擿	擿	tʃak5	zaak3		(又)	3
9242	擿	擿	tʃak2	zaak6	同擲字		3
9243	擿	擿	tʰek3	tik2	挑出；揭露		3
9244	攽	攽	pɐn53	ban1		(又)	3
9245	攽	攽	pan53	baan1			3
9246	敉	敉	mi24	mi5			3
9247	敔	敔	jy24	jyu5			3
9248	斆	敩	hau55	haau3	教導		3
9249	斆	敩	hak2	haak6	學		3
9250	斝	斝	ka33	gaa2			3
9251	斠	斠	kau55	gaau3	斠訂，斠補		3
9252	斠	斠	kak3	gaak2	平斗斛		3
9253	斶	斶	tʃʰœk3	coek2			3
9254	旐	旐	tʃiu22	ziu6			3
9255	旞	旞	ʃui22	sui6			3
9256	旴	旴	hy53	hyu1			3
9257	旵	旵	tʃʰam33	caam2			3
9258	旿	旿	ŋu24	ngu5		(老派)	3
9259	旿	旿	ŋ̍24	ng5			3
9260	昄	昄	pan33	baan2			3
9261	昈	昈	hu22	hu6			3
9262	昒	昒	kʷʰɐt3	kwat2		(又)	3
9263	昒	昒	fɐt3	fat2			3
9264	昡	昡	jyn22	jyun6			3
9265	昣	昣	tʃɐn33	zan2			3
9266	昤	昤	leŋ21	ling4			3
9267	昪	昪	pin22	bin6			3
9268	昫	昫	hy33	hyu2			3
9269	昳	昳	jɐt2	jat6	昳麗		3
9270	昳	昳	tit2	dit6	太陽偏西		3
9271	昺	昺	peŋ33	bing2			3
9272	曨	昽	lœŋ21	loeng4			3
9273	晅	晅	hyn53	hyun1			3
9274	晊	晊	tʃɐt3	zat2			3
9275	晐	晐	kai53	gaai1			3
9276	曄	晔	jip24	jip5			3
9277	暉	晖	kʷʰɐi53	kwai1		(又)	3
9278	暉	晖	wɐi53	wai1			3
9279	晙	晙	tʃɐn55	zan3			3
9280	晢	晢	tʃɐi55	zai3		(又)	3
9281	晢	晢	tʃit3	zit2		(又)	3
9282	晢	晢	tʃyt3	zyut2			3
9283	晪	晪	tim33	dim2		(又)	3
9284	晪	晪	tʰin33	tin2			3
9285	晫	晫	tʃok3	zuk2		(又)	3
9286	晫	晫	tʃœk3	zoek2			3
9287	晱	晱	ʃim33	sim2			3
9288	暅	暅	kɐŋ55	gang3	曝曬		3
9289	暅	暅	hyn33	hyun2	日氣		3
9290	暕	暕	kan33	gaan2	陰雨後晴		3
9291	暕	暕	lan21	laan4	陰乾		3
9292	暲	暲	tʃiɐŋ53	ziang1			3
9293	暵	暵	han55	haan3			3
9294	暶	暶	ɬyn21	slyun4			3
9295	暿	暿	hi33	hi2			3
9296	曈	曈	tœŋ21	doeng4			3
9297	曌	曌	tʃiu55	ziu3			3
9298	朏	朏	fi33	fi2			3
9299	朓	朓	tʰiu55	tiu3			3
9300	朳	朳	pat3	baat2			3
9301	朸	朸	lɐk24	lak5		(又)	3
9302	朸	朸	lek24	lik5			3
9303	杄	杄	tʃʰin53	cin1			3
9304	杕	杕	tɐi22	dai6			3
9305	杙	杙	jek24	jik5			3
9306	杧	杧	maŋ53	maang1			3
9307	榪	杩	ma24	maa5	榪槎		3
9308	榪	杩	ma22	maa6	牀頭橫木		3
9309	枅	枅	kɐi53	gai1			3
9310	枍	枍	jɐi22	jai6			3
9311	枘	枘	ȵui22	njui6			3
9312	枲	枲	ɬɐi33	slai2			3
9313	枹	枹	pau53	baau1	枹樹		3
9314	枹	枹	fu53	fu1	鼓槌		3
9315	柃	柃	leŋ21	ling4			3
9316	柊	柊	tʃœŋ53	zoeng1		(又)	3
9317	柊	柊	tœŋ53	doeng1			3
9318	柖	柖	ʃiu21	siu4			3
9319	柷	柷	tʃœk3	zoek2			3
9320	栐	栐	weŋ24	wing5			3
9321	栒	栒	ɬɐn33	slan2	栒虡		3
9322	栒	栒	ɬɐn21	slan4	木名		3
9323	栴	栴	tʃyn53	zyun1		(又)	3
9324	栴	栴	tʃin53	zin1			3
9325	栻	栻	ʃek3	sik2			3
9326	桄	桄	koŋ33	gung2	桄榔	(又)	3
9327	桄	桄	koŋ53	gung1	桄榔		3
9328	桄	桄	koŋ55	gung3	充也		3
9329	桊	桊	kyn55	gyun3			3
9330	椏	桠	ŋe53	nge1		(白)	3
9331	椏	桠	ŋa53	ngaa1	椏杈，又作枒杈		3
9332	桯	桯	tʰeŋ53	ting1	桯凳		3
9333	桯	桯	ŋeŋ21	nging4	同楹字		3
9334	桲	桲	put2	but6			3
9335	桹	桹	laŋ21	laang4			3
9336	梌	梌	tu21	du4			3
9337	梠	梠	ly24	lyu5			3
9338	梣	梣	kɐm21	gam4		(又)	3
9339	梣	梣	tʃɐm21	zam4			3
9340	梴	梴	tʃʰin53	cin1			3
9341	檮	梼	tau21	daau4			3
9342	梽	梽	tʃi55	zi3			3
9343	棶	梾	lai21	laai4			3
9344	棐	棐	fi33	fi2			3
9345	棓	棓	paŋ24	baang5		(又)	3
9346	棓	棓	paŋ22	baang6	同棒字		3
9347	棓	棓	pui24	bui5	五棓子		3
9348	棓	棓	pʰɐu33	pau2	腳踏板		3
9349	棤	棤	tʃʰo55	co3		(又)	3
9350	棤	棤	tʃʰiɐk3	ciak2		(又)	3
9351	棤	棤	ɬek3	slik2			3
9352	棨	棨	hi33	hi2		(又)	3
9353	棨	棨	kʰɐi33	kai2			3
9354	棪	棪	jim24	jim5			3
9355	棫	棫	wek24	wik5			3
9356	棬	棬	hyn53	hyun1			3
9357	棽	棽	ʃɐm53	sam1		(又)	3
9358	棽	棽	tʃʰɐm53	cam1			3
9359	椀	椀	wun33	wun2			3
9360	椆	椆	tʃɐu21	zau4	椆木，椆水		3
9361	椆	椆	tʃɐu55	zau3	木椆		3
9362	椆	椆	tiu53	diu1	椆苕		3
9363	椑	椑	pi53	bi1	椑柿		3
9364	椑	椑	pi21	bi4	椑榼		3
9365	椓	椓	tʃœk3	zoek2		(又)	3
9366	椓	椓	tʃok3	zuk2		(又)	3
9367	椓	椓	tœk3	doek2			3
9368	椸	椸	ji21	ji4			3
9369	椹	椹	ʃɐm24	sam5	同葚字		3
9370	椹	椹	tʃɐm53	zam1	同砧字		3
9371	楒	楒	ɬi53	sli1			3
9372	楗	楗	kin22	gin6			3
9373	楙	楙	mɐu22	mau6			3
9374	楞	楞	leŋ21	ling4		(又)	3
9375	楞	楞	lɐŋ21	lang4			3
9376	楩	楩	pin21	bin4			3
9377	楪	楪	tip2	dip6	同牒/碟字		3
9378	楪	楪	jip24	jip5	窗牖		3
9379	榃	榃	tɐm21	dam4			3
9380	榅	榅	wɐn53	wan1		(又)	3
9381	榅	榅	wɐt3	wat2			3
9382	榲	榅	wɐn53	wan1		(又)	3
9383	榲	榅	wɐt3	wat2			3
9384	櫬	榇	tʃʰɐn55	can3			3
9385	榍	榍	ɬit3	slit2			3
9386	榑	榑	fu21	fu4			3
9387	榰	榰	tʃi53	zi1			3
9388	槃	槃	pun21	bun4			3
9389	檟	槚	ka33	gaa2			3
9390	槜	槜	tʃui55	zui3			3
9391	槱	槱	jɐu24	jau5			3
9392	橑	橑	liu21	liu4		(又)	3
9393	橑	橑	lau24	laau5			3
9394	橞	橞	wɐi22	wai6			3
9395	櫫	橥	tʃy53	zyu1			3
9396	橦	橦	tʃoŋ21	zung4	竿		3
9397	橦	橦	tœŋ21	doeng4	木棉樹		3
9398	檑	檑	lui21	lui4			3
9399	檞	檞	hai24	haai5		(又)	3
9400	檞	檞	kai33	gaai2			3
9401	檫	檫	tʃʰat3	caat2			3
9402	櫆	櫆	kʷʰɐi53	kwai1		(又)	3
9403	櫆	櫆	kʰui53	kui1			3
9404	欂	欂	pœk2	boek6	欂子，柚子		3
9405	欹	欹	kʰi53	ki1	傾斜		3
9406	欹	欹	ji53	ji1	同猗字		3
9407	欻	欻	fot2	fot6	風箱聲；啡[fi55]啡[fi55]～～，形容工作緊張	(語)	3
9408	欻	欻	fɐt3	fat2	忽然		3
9409	欻	欻	tʃʰat3	caat2	急促的聲響		3
9410	歅	歅	∅ɐn53	an1			3
9411	殣	殣	kɐn33	gan2			3
9412	殳	殳	ʃy21	syu4			3
9413	毌	毌	kun55	gun3			3
9414	毐	毐	∅ai33	aai2			3
9415	毿	毵	ɬam53	slaam1			3
9416	氕	氕	pʰit3	pit2			3
9417	氿	氿	kʷɐi33	gwai2	氿泉		3
9418	氿	氿	kɐu33	gau2	湖名		3
9419	汈	汈	tiu53	diu1			3
9420	汋	汋	tʃʰiɐk3	ciak2	同婥字		3
9421	汋	汋	jiɐk24	jiak5	同瀹字；汋陂		3
9422	汋	汋	tʃiɐk3	ziak2	同酌字；激水聲		3
9423	汧	汧	hin53	hin1		(又)	3
9424	汧	汧	hyn53	hyun1			3
9425	汫	汫	tʃeŋ33	zing2			3
9426	汭	汭	ȵui22	njui6			3
9427	沄	沄	wɐn21	wan4			3
9428	澐	沄	wɐn21	wan4			3
9429	沇	沇	jin24	jin5			3
9430	沘	沘	pi33	bi2			3
9431	沺	沺	tin21	din4			3
9432	泂	泂	kʷeŋ24	gwing5			3
9433	泃	泃	kɐu53	gau1	水聲		3
9434	泃	泃	kʰy53	kyu1	水名		3
9435	泇	泇	ka53	gaa1			3
9436	泙	泙	peŋ21	bing4	水名		3
9437	泙	泙	pʰɐŋ53	pang1	水聲		3
9438	泚	泚	tʃʰi33	ci2			3
9439	泜	泜	tʃi21	zi4	水名，在河北		3
9440	泜	泜	tʃi53	zi1	泜河		3
9441	泜	泜	tʃi22	zi6	水名，在河南		3
9442	洈	洈	ŋɐi21	ngai4			3
9443	洑	洑	fœk2	foek6			3
9444	洓	洓	ʃiɐk3	siak2			3
9445	洘	洘	kʰau33	kaau2			3
9446	洚	洚	kaŋ55	gaang3			3
9447	洢	洢	ji53	ji1			3
9448	洣	洣	mɐi24	mai5			3
9449	洨	洨	ŋau21	ngaau4			3
9450	洭	洭	kʷʰaŋ53	kwaang1			3
9451	洴	洴	peŋ21	bing4			3
9452	洸	洸	koŋ53	gung1			3
9453	洺	洺	meŋ21	ming4			3
9454	洿	洿	wu53	wu1			3
9455	湞	浈	tʃeŋ53	zing1			3
9456	溮	浉	ʃɐi53	sai1			3
9457	滻	浐	tʃʰan33	caan2			3
9458	浛	浛	ham21	haam4			3
9459	浟	浟	jɐu21	jau4	水流貌		3
9460	浟	浟	tek2	dik6	貪利貌		3
9461	浡	浡	put2	but6			3
9462	浬	浬	li24	li5			3
9463	浭	浭	kiɐŋ55	giang3	涉水		3
9464	浭	浭	kɐŋ53	gang1	浭水，河流名		3
9465	浰	浰	li22	li6		(又)	3
9466	浰	浰	lin22	lin6			3
9467	浲	浲	fœŋ21	foeng4			3
9468	浼	浼	mui24	mui5			3
9469	涄	涄	pʰeŋ53	ping1			3
9470	涍	涍	hau55	haau3			3
9471	涐	涐	ŋo21	ngo4			3
9472	涘	涘	ʃɐi22	sai6			3
9473	溳	涢	wɐn21	wan4			3
9474	涴	涴	∅o24	o5	～蛋，變質蛋，俗字𢰸	(語)	3
9475	涴	涴	∅o55	o3			3
9476	淏	淏	hau22	haau6			3
9477	淜	淜	pʰeŋ53	ping1	淜滂		3
9478	淜	淜	pɐŋ21	bang4	淜湃		3
9479	淟	淟	tim33	dim2		(又)	3
9480	淟	淟	tʰin33	tin2			3
9481	淯	淯	ȵœk24	njoek5			3
9482	淴	淴	kʷʰɐt3	kwat2		(又)	3
9483	淴	淴	fɐt3	fat2			3
9484	淼	淼	miu24	miu5			3
9485	渟	渟	teŋ21	ding4			3
9486	渰	渰	jim33	jim2			3
9487	渼	渼	mɐi24	mai5			3
9488	湑	湑	ɬy53	slyu1	水名		3
9489	湑	湑	ɬy33	slyu2	濾酒去渣		3
9490	湓	湓	pun21	bun4			3
9491	湝	湝	kai53	gaai1			3
9492	湣	湣	mɐn24	man5			3
9493	湴	湴	pam22	baam6	淤泥，爛～田，爛泥田，又作埿字		3
9494	濚	溁	weŋ21	wing4			3
9495	漊	溇	lɐu21	lau4	水名，漊水		3
9496	漊	溇	lɐu24	lau5	水溝		3
9497	漊	溇	ly24	lyu5	小雨不絕貌		3
9498	溍	溍	tʃɐn55	zan3			3
9499	溚	溚	tʰap3	taap2	焦油舊稱；古水名		3
9500	溚	溚	tap3	daap2	溼		3
9501	溞	溞	ɬau53	slaau1			3
9502	溠	溠	tʃa55	zaa3			3
9503	溦	溦	mi21	mi4	小雨		3
9504	溵	溵	∅ɐn53	an1			3
9505	溹	溹	ɬak3	slaak2			3
9506	滆	滆	kiɐk3	giak2			3
9507	滉	滉	hoŋ24	hung5			3
9508	滍	滍	tʃi22	zi6			3
9509	滘	滘	kau55	gaau3	地名用字，古字漖		3
9510	灄	滠	ʃip3	sip2			3
9511	滧	滧	hau55	haau3			3
9512	漈	漈	tʃɐi55	zai3			3
9513	漋	漋	lœŋ21	loeng4			3
9514	漖	漖	kau55	gaau3			3
9515	灠	漤	lam24	laam5			3
9516	漦	漦	ʃan21	saan4	唾液，又作涎/潺字	(語)	3
9517	漦	漦	li21	li4			3
9518	漴	漴	tʃoŋ22	zung6			3
9519	漷	漷	kʰok3	kuk2			3
9520	漹	漹	jin53	jin1			3
9521	漻	漻	lɐu21	lau4	變化貌		3
9522	漻	漻	liu21	liu4	水清貌		3
9523	漼	漼	tʃʰui33	cui2			3
9524	瀠	潆	weŋ21	wing4			3
9525	潏	潏	wɐt24	wat5	水湧貌		3
9526	潏	潏	kʰyt3	kyut2	河流名		3
9527	潏	潏	ʃɐt2	sat6	水中坻		3
9528	潖	潖	pa21	baa4			3
9529	潩	潩	ji22	ji6			3
9530	潵	潵	ɬan55	slaan3	水散也		3
9531	潵	潵	ɬat3	slaat2	潵河		3
9532	潽	潽	pʰu33	pu2	水名		3
9533	潽	潽	pʰu53	pu1	液體沸騰溢出		3
9534	潾	潾	lɐn21	lan4			3
9535	澂	澂	tʃeŋ21	zing4	同澄字		3
9536	瀂	澛	lu24	lu5			3
9537	澪	澪	leŋ21	ling4			3
9538	澭	澭	∅œŋ53	oeng1			3
9539	澴	澴	wan21	waan4			3
9540	澼	澼	pʰek3	pik2			3
9541	澽	澽	ky22	gyu6			3
9542	濋	濋	tʃʰu33	cu2			3
9543	濩	濩	hok2	huk6	煑		3
9544	濩	濩	hu22	hu6	布散		3
9545	瀌	瀌	piu53	biu1			3
9546	瀍	瀍	tʃin21	zin4			3
9547	瀔	瀔	kœk3	goek2			3
9548	瀱	瀱	kɐi55	gai3			3
9549	瀵	瀵	fɐn55	fan3			3
9550	瀹	瀹	jiɐk24	jiak5			3
9551	瀼	瀼	ŋiɐŋ21	ngiang4	露多貌		3
9552	瀼	瀼	ŋiɐŋ22	ngiang6	水名在蜀		3
9553	灈	灈	ky21	gyu4			3
9554	炆	炆	mɐn55	man3	燒、燉		3
9555	炌	炌	kʰai55	kaai3			3
9556	炟	炟	tat3	daat2			3
9557	炣	炣	kʰo33	ko2			3
9558	烔	烔	tœŋ21	doeng4			3
9559	烝	烝	tʃeŋ53	zing1			3
9560	烠	烠	wɐi21	wai4			3
9561	烶	烶	teŋ24	ding5			3
9562	烺	烺	laŋ24	laang5			3
9563	烻	烻	jin22	jin6		(又)	3
9564	烻	烻	ʃin53	sin1	光		3
9565	烻	烻	jyn22	jyun6	光熾		3
9566	焆	焆	kyn53	gyun1			3
9567	焌	焌	tʃɐn55	zan3	火燒		3
9568	焌	焌	tʃʰyt3	cyut2	一種烹調法		3
9569	焞	焞	tʰui53	tui1	盛		3
9570	焞	焞	tʰɐn53	tan1	光明		3
9571	煁	煁	ʃɐm21	sam4			3
9572	煃	煃	kʷʰɐi33	kwai2			3
9573	煋	煋	ɬeŋ53	sling1			3
9574	煓	煓	tʰun53	tun1			3
9575	煟	煟	wɐi22	wai6			3
9576	煴	煴	wɐn53	wan1	無焰的火		3
9577	煴	煴	wɐn55	wan3	熨		3
9578	熅	煴	wɐn53	wan1	無焰的火		3
9579	熅	煴	wɐn55	wan3	熨		3
9580	熇	熇	hak3	haak2	烤，又作𤌍字		3
9581	熛	熛	piu53	biu1	火飛		3
9582	熻	熻	hap2	haap6	㷫～～，熱烘烘，又作烚字	(語)	3
9583	熻	熻	kʰɐp3	kap2			3
9584	燊	燊	ɬɐn53	slan1			3
9585	燋	燋	tʃiu21	ziu4	同憔字		3
9586	燋	燋	tʃiu53	ziu1	引火用的柴		3
9587	燏	燏	wɐt24	wat5			3
9588	燚	燚	jek24	jik5			3
9589	爇	爇	ȵyt24	njyut5			3
9590	爔	爔	hi53	hi1			3
9591	爚	爚	jiɐk24	jiak5			3
9592	爟	爟	kun55	gun3			3
9593	牚	牚	tʃʰiɐŋ55	ciang3	椅牚		3
9594	牥	牥	foŋ53	fung1			3
9595	牻	牻	maŋ21	maang4			3
9596	牿	牿	kœk3	goek2			3
9597	犇	犇	pɐn53	ban1			3
9598	犨	犨	tʃɐu21	zau4			3
9599	犴	犴	han22	haan6	狴犴	(又)	3
9600	犴	犴	han21	haan4	駝鹿		3
9601	犴	犴	ŋan22	ngaan6	狴犴；牢獄		3
9602	狃	狃	nɐu33	nau2			3
9603	狉	狉	pʰi53	pi1			3
9604	獮	狝	ɬin33	slin2		(又)	3
9605	獮	狝	ɬyn33	slyun2			3
9606	狴	狴	pi22	bi6		(又)	3
9607	狴	狴	pɐi22	bai6			3
9608	狻	狻	ɬun53	slun1			3
9609	猄	猄	keŋ53	ging1			3
9610	猇	猇	hau53	haau1			3
9611	猊	猊	nɐi21	nai4		(又)	3
9612	猊	猊	ŋɐi21	ngai4			3
9613	猯	猯	tʰun53	tun1			3
9614	猰	猰	∅at3	aat2			3
9615	猺	猺	jiu21	jiu4			3
9616	獍	獍	keŋ55	ging3			3
9617	獯	獯	wɐn53	wan1			3
9618	玃	玃	kʷʰɐk3	kwak2		(又)	3
9619	玃	玃	kʰok3	kuk2			3
9620	玒	玒	kaŋ53	gaang1		(又)	3
9621	玒	玒	kœŋ53	goeng1		(又)	3
9622	玒	玒	hœŋ21	hoeng4			3
9623	玓	玓	tek3	dik2			3
9624	玘	玘	hi33	hi2			3
9625	瑒	玚	tʃʰiɐŋ55	ciang3	祭祀之圭		3
9626	瑒	玚	jiɐŋ21	jiang4	玉名；花名		3
9627	瑒	玚	taŋ22	daang6	同璗字		3
9628	玞	玞	fu53	fu1			3
9629	玟	玟	fɐn21	fan4		(老派)	3
9630	玟	玟	mɐn21	man4			3
9631	玤	玤	pœŋ33	boeng2			3
9632	瑲	玱	tʃʰiɐŋ53	ciang1			3
9633	玶	玶	peŋ21	bing4			3
9634	玹	玹	jin21	jin4	姓	(又)	3
9635	玹	玹	jyn22	jyun6	玉名		3
9636	玹	玹	jyn21	jyun4	玉色；石次玉；姓		3
9637	玼	玼	tʃʰi33	ci2	鮮明		3
9638	玼	玼	tʃʰi53	ci1	玉的疵點		3
9639	玿	玿	ʃiu21	siu4			3
9640	珅	珅	ʃɐn53	san1			3
9641	珇	珇	tʃu33	zu2			3
9642	珋	珋	lɐu24	lau5			3
9643	珌	珌	pɐt3	bat2		(又)	3
9644	珌	珌	pit3	bit2			3
9645	珒	珒	tʃɐn53	zan1			3
9646	珕	珕	lɐi22	lai6			3
9647	珖	珖	koŋ53	gung1			3
9648	珛	珛	jɐu55	jau3			3
9649	珝	珝	hy33	hyu2			3
9650	珢	珢	ŋɐn21	ngan4			3
9651	珦	珦	hiɐŋ55	hiang3			3
9652	珪	珪	kʷɐi53	gwai1			3
9653	珫	珫	tʃʰœŋ53	coeng1			3
9654	珵	珵	tʃeŋ21	zing4			3
9655	珷	珷	fu24	fu5		(老派)	3
9656	珷	珷	mu24	mu5			3
9657	珸	珸	ŋu21	ngu4		(老派)	3
9658	珸	珸	ŋ̍21	ng4			3
9659	珹	珹	ʃeŋ21	sing4			3
9660	珺	珺	kʷɐn22	gwan6			3
9661	珽	珽	tʰeŋ33	ting2			3
9662	琀	琀	ham21	haam4			3
9663	琄	琄	jyn22	jyun6			3
9664	琈	琈	fɐu21	fau4			3
9665	琊	琊	je21	je4			3
9666	璡	琎	tʃɐn55	zan3			3
9667	琔	琔	tin22	din6			3
9668	琟	琟	wɐi21	wai4			3
9669	琡	琡	tʃʰœk3	coek2			3
9670	琭	琭	lœk24	loek5			3
9671	琲	琲	pʰui55	pui3			3
9672	瑀	瑀	jy24	jyu5			3
9673	瑂	瑂	mi21	mi4			3
9674	瑃	瑃	tʃʰɐn53	can1			3
9675	瑅	瑅	tɐi21	dai4			3
9676	瑆	瑆	ɬeŋ53	sling1			3
9677	瑑	瑑	tʃyn22	zyun6			3
9678	瑓	瑓	lin22	lin6			3
9679	瑔	瑔	tʃyn21	zyun4			3
9680	瑖	瑖	tun55	dun3			3
9681	瑝	瑝	wiɐŋ21	wiang4			3
9682	瑢	瑢	jœŋ21	joeng4			3
9683	瑧	瑧	tʃɐn53	zan1			3
9684	瑨	瑨	tʃɐn55	zan3			3
9685	瑬	瑬	lɐu21	lau4			3
9686	瑱	瑱	tʃɐn55	zan3	同鎮字		3
9687	瑱	瑱	tʰin55	tin3	玉名		3
9688	瑳	瑳	tʃʰa53	caa1		(白)	3
9689	瑳	瑳	tʃʰo53	co1			3
9690	璦	瑷	∅ai55	aai3			3
9691	璆	璆	kɐu21	gau4			3
9692	璒	璒	tɐŋ53	dang1			3
9693	璥	璥	keŋ33	ging2			3
9694	璬	璬	kiu33	giu2			3
9695	璮	璮	tʰan33	taan2			3
9696	璱	璱	ɬɐt3	slat2			3
9697	璲	璲	ʃui22	sui6			3
9698	瓀	瓀	ȵyn24	njyun5			3
9699	瓖	瓖	ɬiɐŋ53	sliang1			3
9700	瓞	瓞	tit2	dit6			3
9701	瓻	瓻	tʃʰi53	ci1			3
9702	甓	甓	pʰek3	pik2			3
9703	甗	甗	jin24	jin5		(又)	3
9704	甗	甗	jyn24	jyun5			3
9705	甡	甡	ɬɐn53	slan1			3
9706	甪	甪	lœk24	loek5			3
9707	甯	甯	neŋ22	ning6	姓		3
9708	畖	畖	wa53	waa1			3
9709	畤	畤	tʃi22	zi6			3
9710	畬	畬	ʃi53	si1		(白)	3
9711	畬	畬	ʃe53	se1	燒草耕田；姓		3
9712	畬	畬	ʃe21	se4	畬（畲）族，讀同佘		3
9713	畬	畬	jy21	jyu4	新田二歲		3
9714	畯	畯	tʃɐn55	zan3			3
9715	疁	疁	lɐu21	lau4			3
9716	疍	疍	tan22	daan6			3
9717	疐	疐	tɐi55	dai3	同蒂字		3
9718	疐	疐	tʃi55	zi3	停滯、阻礙		3
9719	疢	疢	tʃʰɐn33	can2		(又)	3
9720	疢	疢	tʃʰɐn55	can3			3
9721	疰	疰	tʃy55	zyu3			3
9722	痃	痃	jin21	jin4		(又)	3
9723	痃	痃	jyn21	jyun4			3
9724	痄	痄	tʃa55	zaa3			3
9725	痓	痓	tʃʰi55	ci3			3
9726	瘀	瘀	jy33	jyu2			3
9727	癉	瘅	tan53	daan1	火癉		3
9728	癉	瘅	tan55	daan3	勞病；憎恨		3
9729	瘕	瘕	ha53	haa1	扯瘕（掹瘕），喘咳		3
9730	瘕	瘕	ka33	gaa2	肚子裏結塊的病		3
9731	瘕	瘕	ha21	haa4	同瑕字		3
9732	瘞	瘗	ji55	ji3			3
9733	瘥	瘥	tʃʰai55	caai3	病癒		3
9734	瘥	瘥	tʃo21	zo4	病疫		3
9735	瘭	瘭	piu53	biu1			3
9736	癀	癀	hoŋ21	hung4			3
9737	癗	癗	lui24	lui5			3
9738	癿	癿	ka53	gaa1		(又)	3
9739	癿	癿	ke21	ge4			3
9740	皕	皕	pek3	bik2			3
9741	皛	皛	kiu24	giu5			3
9742	皞	皞	hau22	haau6			3
9743	皦	皦	kiu33	giu2			3
9744	皭	皭	tʃiɐk3	ziak2		(又)	3
9745	皭	皭	tʃiu55	ziu3			3
9746	盦	盦	∅ɐp3	ap2		(又)	3
9747	盦	盦	∅am53	aam1			3
9748	盷	盷	jyn21	jyun4			3
9749	眚	眚	ʃiɐŋ33	siang2			3
9750	眢	眢	jyn53	jyun1			3
9751	睎	睎	hi53	hi1			3
9752	瞍	瞍	ɬɐu33	slau2			3
9753	瞫	瞫	ʃɐm55	sam3	偷看；細看	(語)	3
9754	瞫	瞫	ʃɐm33	sam2			3
9755	瞵	瞵	lɐn21	lan4			3
9756	矞	矞	wɐt24	wat5			3
9757	矧	矧	tʃʰɐn33	can2			3
9758	矰	矰	tʃɐŋ53	zang1			3
9759	矻	矻	wɐt3	wat2		(又)	3
9760	矻	矻	ŋɐt2	ngat6			3
9761	矼	矼	kaŋ53	gaang1			3
9762	砄	砄	kʰyt3	kyut2			3
9763	砆	砆	fu53	fu1			3
9764	砉	砉	wiɐk2	wiak6			3
9765	砑	砑	ȵa22	njaa6			3
9766	砠	砠	tʃy53	zyu1			3
9767	砫	砫	tʃy24	zyu5			3
9768	砬	砬	lɐp24	lap5			3
9769	砮	砮	nu24	nu5	石箭鏃		3
9770	砮	砮	nu21	nu4	磨刀石		3
9771	砵	砵	put3	but2			3
9772	硜	硁	kʰɐŋ53	kang1		(又)	3
9773	硜	硁	hɐŋ53	hang1			3
