ID	TRAD	SIMP	IPA	JYUTPING	EXPL	NOTE	LEVEL
267	俯	俯	fu33	fu2			1
268	俱	俱	kʰy53	kyu1		(又)	1
269	俱	俱	ky22	gyu6			1
270	俺	俺	∅an24	aan5		(又)	1
271	俺	俺	jim55	jim3			1
272	倍	倍	pui24	bui5			1
273	倒	倒	tau33	daau2	倒塌		1
274	倒	倒	tau55	daau3	倒掛，倒水		1
275	倔	倔	wɐt3	wat2			1
276	倘	倘	tʰaŋ33	taang2			1
277	候	候	hɐu53	hau1	守候、留意，俗字睺	(語)	1
278	候	候	hɐu22	hau6			1
279	倚	倚	ji33	ji2			1
280	借	借	tʃi55	zi3		(又)	1
281	借	借	tʃe55	ze3			1
282	倡	倡	tʃʰiɐŋ55	ciang3	提倡，倡議		1
283	倡	倡	tʃʰiɐŋ53	ciang1	倡優		1
284	倦	倦	kyn22	gyun6			1
285	債	债	tʃai55	zaai3			1
286	值	值	tʃek2	zik6			1
287	傾	倾	kʰeŋ53	king1			1
288	假	假	kʰa55	kaa3	放假		1
289	假	假	ka33	gaa2	真假		1
290	偎	偎	wui53	wui1			1
291	偏	偏	pʰin53	pin1			1
292	做	做	tʃu55	zu3			1
293	停	停	teŋ21	ding4			1
294	健	健	kin22	gin6			1
295	偶	偶	ŋɐu24	ngau5			1
296	偷	偷	tʰɐu53	tau1			1
297	償	偿	ʃiɐŋ21	siang4			1
298	傅	傅	fu22	fu6			1
299	傍	傍	paŋ22	baang6	依傍		1
300	傍	傍	paŋ21	baang4	傍晚		1
301	儲	储	tʃy21	zyu4			1
302	催	催	tʃʰui53	cui1			1
303	傲	傲	ŋau22	ngaau6			1
304	傻	傻	ɬo21	slo4			1
305	像	像	tʃiɐŋ22	ziang6			1
306	僚	僚	liu21	liu4			1
307	僧	僧	tʃɐŋ53	zang1			1
308	僵	僵	kʰiɐŋ53	kiang1			1
309	殭	僵	kʰiɐŋ53	kiang1			1
310	僻	僻	pʰek3	pik2			1
311	儒	儒	jy21	jyu4			1
312	儿	儿	ȵi21	nji4	同兒字		1
313	儿	儿	ȵɐn21	njan4	同人字		1
314	兒	儿	ȵi55	nji3	乞兒	(白)	1
315	兒	儿	ȵi21	nji4			1
316	允	允	jɐn24	jan5		(又)	1
317	允	允	wɐn24	wan5			1
318	元	元	jyn21	jyun4			1
319	兄	兄	heŋ53	hing1		(老派)	1
320	兄	兄	weŋ53	wing1			1
321	充	充	tʃʰœŋ53	coeng1			1
322	兆	兆	tʃiu22	ziu6			1
323	先	先	ɬin53	slin1			1
324	光	光	koŋ53	gung1			1
325	克	克	kʰɐk3	kak2			1
326	剋	克	kʰɐk3	kak2	剋扣		1
327	免	免	min24	min5			1
328	兌	兑	tui55	dui3			1
329	兑	兑	tui55	dui3			1
330	兔	兔	tʰu55	tu3			1
331	党	党	taŋ33	daang2			1
332	黨	党	taŋ33	daang2			1
333	兜	兜	tɐu53	dau1			1
334	兢	兢	keŋ53	ging1			1
335	入	入	jɐp24	jap5			1
336	全	全	tʃyn21	zyun4			1
337	八	八	pat3	baat2			1
338	公	公	kœŋ53	goeng1			1
339	六	六	lœk24	loek5			1
340	蘭	兰	lan53	laan1	荷蘭豆；<外>女友的俗稱，英語friend（法蘭）引申	(白)	1
341	蘭	兰	lan21	laan4	蘭花		1
342	共	共	kœŋ22	goeng6			1
343	關	关	kʷan53	gwaan1			1
344	興	兴	heŋ55	hing3	高興		1
345	興	兴	heŋ53	hing1	興旺		1
346	兵	兵	peŋ53	bing1			1
347	其	其	ki21	gi4			1
348	具	具	ky22	gyu6			1
349	典	典	tin33	din2		(書)	1
350	典	典	tim33	dim2		(習)	1
351	茲	兹	tʃi53	zi1			1
352	養	养	jiɐŋ24	jiang5			1
353	兼	兼	kim53	gim1			1
354	獸	兽	ʃɐu55	sau3			1
355	冀	冀	ki55	gi3			1
356	內	内	nui22	nui6			1
357	岡	冈	kaŋ53	gaang1			1
358	冉	冉	ȵim24	njim5			1
359	冊	册	tʃʰiɐk3	ciak2			1
360	再	再	tʃai55	zaai3			1
